table,column,postgres_type,nullable,key_reference,rules_default,source_json_path,go_field_value,conversion_derivation,trace_class,go_models,writer_projector,source
fi.recorded_generation,recorded_generation_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`; returned into local Go `id int64`,PostgreSQL-generated,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,receipt_version,text,No,—,`NOT NULL`,receipt.version,generationrecorder.RecordedReceipt.Version,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,descriptor_version,text,No,—,`NOT NULL`,receipt.descriptor.version,transportgeneration.Descriptor.Version,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,source_id,text,No,"UQ(source_id, generation_id)",`NOT NULL`,receipt.descriptor.source_id,transportgeneration.Descriptor.SourceID,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,generation_id,text,No,"UQ(source_id, generation_id)",`NOT NULL`,receipt.descriptor.generation_id,transportgeneration.Descriptor.GenerationID,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,canonical_version,text,No,—,`NOT NULL`,receipt.descriptor.canonical_version,transportgeneration.Descriptor.CanonicalVersion,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,data_encoding,text,No,—,`NOT NULL`,receipt.descriptor.data_encoding,transportgeneration.Descriptor.DataEncoding,Direct,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,artifact_count,bigint,No,—,`NOT NULL CHECK (artifact_count > 0)`,receipt.descriptor.artifact_count,transportgeneration.Descriptor.ArtifactCount,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,source_bytes,bigint,No,—,`NOT NULL CHECK (source_bytes >= 0)`,receipt.descriptor.source_bytes,transportgeneration.Descriptor.SourceBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,canonical_bytes,bigint,No,—,`NOT NULL CHECK (canonical_bytes > 0)`,receipt.descriptor.canonical_bytes,transportgeneration.Descriptor.CanonicalBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
